
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  5.394573332147690e-13  1.115736568771188e-09  4.428556802247758e-13  21    5    5
    2  1.115736568771188e-09  2.231473137542376e-08  9.163822807329867e-10  21    5    5
    3  2.231473137542376e-08  4.462946275084752e-07  1.923514160809538e-08  21    5    5
    4  4.462946275084752e-07  8.925892550169503e-06  3.855986598679774e-07  21    5   10
    5  8.925892550169503e-06  1.785178510033901e-04  7.708211059382351e-06  21    5   15
    6  1.785178510033901e-04  1.785178510033901e-04  1.523691871404893e-04  21    5   25
    7  1.785178510033901e-04  3.585707949933359e-04  2.938655103805764e-04  21    5   24
    8  3.585707949933359e-04  3.585707949933359e-04  5.697730581905052e-04  21    5   27
    9  3.585707949933359e-04  5.674780536053154e-04  8.362904541634017e-04  21    5   26
   10  5.674780536053154e-04  5.674780536053154e-04  1.242624422412538e-03  21    5   30
   11  5.674780536053154e-04  5.674780536053154e-04  1.705790077089818e-03  23    5   39
   12  5.674780536053154e-04  1.030893509913678e-03  2.099317317764430e-03  23    5   35
   13  1.030893509913678e-03  1.030893509913678e-03  2.786910905263980e-03  23    5   40
   14  8.530260501734400e-04  8.265202161950694e-04  3.679069863455738e-03  25   10   78
   15  8.265202161950694e-04  1.833820046104544e-03  4.252822903013708e-03  25    5   34
   16  1.833820046104544e-03  1.833820046104544e-03  5.463782489426223e-03  25    5   40
   17  1.833820046104544e-03  3.531178513380329e-03  6.600387947546301e-03  25    5   35
   18  3.531178513380329e-03  3.531178513380329e-03  8.612852316450285e-03  25    5   39
   19  5.102820278063035e-04  5.102820278063035e-04  8.965698246774621e-03  29   15  179
   20  5.102820278063035e-04  1.378606071822474e-03  9.230856680719610e-03  29    5   28
   21  9.036281876135793e-04  8.058184817324849e-04  9.584972859412105e-03  31   10   79
   22  8.058184817324849e-04  1.978622033740154e-03  9.986341407878832e-03  31    5   30
   23  1.978622033740154e-03  4.525318337511054e-03  1.093921179070554e-02  31    5   41
   24  8.885005289672522e-04  8.885005289672522e-04  1.186021710236508e-02  33   15  208
   25  8.885005289672522e-04  1.936622662991968e-03  1.227315407182741e-02  33    5   29
