
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G = -10
    g = 10
    e = 0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717302    1.326933  7.75e-07  1.19e-07
   -2.800000    0.727249    1.290353  1.73e-06  1.19e-07
   -2.700000    0.740248    1.254041  1.91e-06  2.38e-07
   -2.600000    0.756015    1.218400  1.85e-06  1.19e-07
   -2.500000    0.774229    1.183861  1.61e-06  2.38e-07
   -2.400001    0.794547    1.150885  1.43e-06  2.38e-07
   -2.300001    0.816617    1.119953  1.13e-06  1.19e-07
   -2.200001    0.840090    1.091560  8.94e-07  0.00e+00
   -2.100001    0.864626    1.066204  6.56e-07  0.00e+00
   -2.000001    0.889903    1.044367  4.17e-07  1.19e-07
   -1.900001    0.915618    1.026499  3.58e-07  0.00e+00
   -1.800001    0.941486    1.012992  1.73e-06  4.77e-07
   -1.700001    0.967249    1.004159  3.28e-06  4.77e-07
   -1.600001    0.992669    1.000214  4.53e-06  3.58e-07
   -1.500001    1.017526    1.001252  4.29e-06  2.38e-07
   -1.400001    1.041621    1.007249  4.53e-06  3.58e-07
   -1.300001    1.064772    1.018058  5.01e-06  4.77e-07
   -1.200001    1.086816    1.033422  4.29e-06  3.58e-07
   -1.100001    1.107605    1.052993  4.53e-06  4.77e-07
   -1.000001    1.127005    1.076350  4.65e-06  4.77e-07
   -0.900001    1.144899    1.103029  4.41e-06  2.38e-07
   -0.800001    1.161181    1.132539  4.65e-06  4.77e-07
   -0.700001    1.175760    1.164381  4.41e-06  3.58e-07
   -0.600001    1.188552    1.198064  4.53e-06  4.77e-07
   -0.500001    1.199492    1.233116  4.41e-06  4.77e-07
   -0.400001    1.208519    1.269087  4.65e-06  3.58e-07
   -0.300001    1.215589    1.305557  4.41e-06  3.58e-07
   -0.200001    1.220664    1.342137  4.77e-06  3.58e-07
   -0.100001    1.223720    1.378465  4.65e-06  2.38e-07
   -0.000001    1.224740    1.414214  4.65e-06  3.58e-07
    0.099999    1.223720    1.449080  4.41e-06  3.58e-07
    0.199999    1.220665    1.482791  4.77e-06  3.58e-07
    0.299999    1.215590    1.515097  4.17e-06  2.38e-07
    0.399999    1.208520    1.545774  4.17e-06  3.58e-07
    0.499999    1.199492    1.574619  4.05e-06  3.58e-07
    0.599999    1.188553    1.601450  4.17e-06  2.38e-07
    0.699999    1.175760    1.626105  3.81e-06  0.00e+00
    0.799999    1.161182    1.648441  3.93e-06  2.38e-07
    0.899999    1.144901    1.668330  3.46e-06  0.00e+00
